,Name,Symbol,Monoisotopic_Mass
0,Aluminum,Al(27),26.9815
1,Antimony,Sb(121),120.9038
2,Argon,Ar(40),39.9624
3,Arsenic,As(75),74.9216
4,Barium,Ba(138),137.9052
5,Beryllium,Be(9),9.0122
6,Bismuth,Bi(209),208.9804
7,Boron,B(11),11.0093
8,Bromine,Br(79),78.9183
9,Calcium,Ca(40),39.9626
10,Cadmium,Cd(114),113.9034
11,Carbon,C(12),12.0
12,Cerium,Ce(140),139.9054
13,Cesium,Cs(133),132.9054
14,Chlorine,Cl(35),34.9689
15,Chromium,Cr(52),51.9405
16,Cobalt,Co(59),58.9332
17,Copper,Cu(63),62.9296
18,Dysprosium,Dy(164),163.9292
19,Erbium,Er(166),165.9303
20,Europium,Eu(153),152.9212
21,Fluorine,F(19),18.9984
22,Gallium,Ga(69),68.9256
23,Gadolinium,Gd(158),157.9241
24,Germanium,Ge(74),73.9212
25,Gold,Au(197),196.9666
26,Hafnium,Hf(180),179.9466
27,Helium,He(4),4.0026
28,Holmium,Ho(165),164.9303
29,Hydrogen,H(1),1.0078
30,Indium,In(115),114.9039
31,Iodine,I(127),126.9045
32,Iridium,Ir(193),192.9629
33,Iron,Fe(56),55.9349
34,Krypton,Kr(84),83.9115
35,Lanthanum,La(139),138.9064
36,Lead,Pb(208),207.9766
37,Lithium,Li(7),7.016
38,Lutetium,Lu(175),174.9408
39,Magnesium,Mg(24),23.985
40,Manganese,Mn(55),54.938
41,Mercury,Hg(202),201.9706
42,Molybdenum,Mo(98),97.9054
43,Neodymium,Nd(142),141.9077
44,Neon,Ne(20),19.9924
45,Nickel,Ni(58),57.9353
46,Niobium,Nb(93),92.9064
47,Nitrogen,N(14),14.0031
48,Osmium,Os(192),191.9615
49,Oxygen,O(16),15.9949
50,Palladium,Pd(106),105.9035
51,Phosphorus,P(31),30.9738
52,Platinum,Pt(195),194.9648
53,Potassium,K(39),38.9637
54,Praseodymium,Pr(141),140.9077
55,Rhenium,Re(187),186.9558
56,Rhodium,Rh(103),102.9055
57,Rubidium,Rb(85),84.9118
58,Ruthenium,Ru(102),101.9043
59,Samarium,Sm(152),151.9197
60,Scandium,Sc(45),44.9559
61,Selenium,Se(80),79.9165
62,Silicon,Si(28),27.9769
63,Silver,Ag(107),106.9051
64,Sodium,Na(23),22.9898
65,Strontium,Sr(88),87.9056
66,Sulfur,S(32),31.9721
67,Tantalum,Ta(181),180.948
68,Tellurium,Te(130),129.9062
69,Terbium,Tb(159),158.9254
70,Thallium,Tl(205),204.9744
71,Thorium,Th(232),232.0381
72,Thulium,Tm(169),168.9342
73,Tin,Sn(120),119.9022
74,Titanium,Ti(48),47.9479
75,Tungsten,W(184),183.951
76,Uranium,U(238),238.0508
77,Vanadium,V(51),50.944
78,Xenon,Xe(132),131.9041
79,Ytterbium,Yb(174),173.9389
80,Yttrium,Y(89),88.9059
81,Zinc,Zn(64),63.9291
82,Zirconium,Zr(90),89.9047
